author id,created_at,geo,tweet_id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,username,name,account_description,account_created_at,verified,followers_count,following_count,tweet_count,listed_count
1579596458,2016-01-01 23:58:24+00:00, ,683074828052500480,en,0,0,0,6,Twitter for Android,RT @earth2017: PROOF that #oil companies knew #globalwarming was real but lobbied to protect profits https://t.co/pCVQRoZctX  @latimes,MarkPlackett1,🌱💧Mark Plackett ♻,"Microbiologist, Com. Eng recently Builder with active interest in the environment.",2013-07-09T06:22:15.000Z,False,4752,4593,610728,1482
2381141928,2016-01-01 23:58:18+00:00, ,683074802689683459,en,0,0,0,0,Twitter Web Client,Stop Illegal Poaching https://t.co/NCIvaO8kD0,onehousedragon,Nina clausen,"fight for animal rights, wildlife and pets,",2014-03-09T23:00:33.000Z,False,1660,2303,137222,95
2333993047,2016-01-01 23:58:04+00:00, ,683074742870355968,en,0,0,0,6,Twitter Web Client,RT @AustCCR: Pick of 2015 Companies behaving badly https://t.co/xn6Pabncxk,KristinG63,Kristin,"F-T parent (life-time job, no retiring!), friend, poet, country girl, unashamedly weird (ie not normal, is anyone?), CSA survivor, passionate about human rights",2014-02-08T19:44:31.000Z,False,668,1089,21344,93
3291077331,2016-01-01 23:57:59+00:00, ,683074724537208832,en,0,0,0,0,IFTTT,"RT BUSTED: ""Climate Change"" mantra to cover up for Geoengineering botch-ups  https://t.co/Ax9JFaaKRE",ClimateRetweet,Climate retweet,Auto retweet of climate change posts on Twitter. All tweets from climate change RSS feed.,2015-05-20T10:47:00.000Z,False,2627,11,422477,458
3291077331,2016-01-01 23:57:59+00:00, ,683074721290842112,en,0,0,0,0,IFTTT,RT WATCH: Climate change is forcing slopes around the world to open later and close earlier.   https://t.co/UcBzuV7llZ,ClimateRetweet,Climate retweet,Auto retweet of climate change posts on Twitter. All tweets from climate change RSS feed.,2015-05-20T10:47:00.000Z,False,2627,11,422477,458
3291077331,2016-01-01 23:57:58+00:00, ,683074720280014849,en,0,0,0,0,IFTTT,RT   So I guess Sanders will let the murderers out and jail the REAL criminals - climate change denierz! https://t.co/di7NBArpoj,ClimateRetweet,Climate retweet,Auto retweet of climate change posts on Twitter. All tweets from climate change RSS feed.,2015-05-20T10:47:00.000Z,False,2627,11,422477,458
3291077331,2016-01-01 23:57:58+00:00, ,683074718837116928,en,0,0,0,0,IFTTT,RT   I wasn't expecting some kind of Climate Change Inquisition ... https://t.co/QPRYSUFQEE,ClimateRetweet,Climate retweet,Auto retweet of climate change posts on Twitter. All tweets from climate change RSS feed.,2015-05-20T10:47:00.000Z,False,2627,11,422477,458
3291077331,2016-01-01 23:57:58+00:00, ,683074717155233792,en,0,0,0,0,IFTTT,RT to date NO ONE can show a climate change model that even close to right!  https://t.co/LNYrCCtUZO,ClimateRetweet,Climate retweet,Auto retweet of climate change posts on Twitter. All tweets from climate change RSS feed.,2015-05-20T10:47:00.000Z,False,2627,11,422477,458
3291077331,2016-01-01 23:57:57+00:00, ,683074716161183744,en,0,0,0,0,IFTTT,RT That's Damion and Wyckham's headache not mine. It doesn't affect water supply or climate change. Not my Ministr… https://t.co/R5Cg0KkbsO,ClimateRetweet,Climate retweet,Auto retweet of climate change posts on Twitter. All tweets from climate change RSS feed.,2015-05-20T10:47:00.000Z,False,2627,11,422477,458
3291077331,2016-01-01 23:57:57+00:00, ,683074715188068352,en,0,0,0,0,IFTTT,RT What happens when youth from around the world convene to tackle climate change—  https://t.co/22Ody72lrO,ClimateRetweet,Climate retweet,Auto retweet of climate change posts on Twitter. All tweets from climate change RSS feed.,2015-05-20T10:47:00.000Z,False,2627,11,422477,458
